"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 10, 72
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 0, 2, 43
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 3, 5, 93
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.scss", "SCSS", 0, 0, 0, 0, 96, 0, 0, 0, 1, 97
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 9, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 11, 69
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.scss", "SCSS", 0, 0, 0, 0, 54, 0, 0, 1, 2, 57
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.sidebar.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.sidebar.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 6, 79
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\app.action.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\app.reducer.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 5, 80
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\user.reducer.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\rootReducer.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\store.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.app.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 1, 6, 66
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\axios.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 8, 9, 40
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkAuth.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkFriend.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\firebase.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 2, 7, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleUltils.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\io.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 2, 2, 28
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\keyMenuItem.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"Total", "-", 9101, 1, 3001, 597, 1287, 124, 13, 118, 544, 14786
